307,Aeroputul International Marculesti,(Unknown),"",AMM,AEROM,Moldova,N
308,Air Montenegro,(Unknown),"",AMN,MONTENEGRO,Montenegro,N
309,Air Montreal (Air Holdings Inc.),(Unknown),"",AMO,AIR MONTREAL,Canada,N
310,Aero Transporte S.A. (ATSA),(Unknown),"",AMP,ATSA,Peru,N
311,Aeromedicare Ltd.,(Unknown),"",AMQ,LIFELINE,United Kingdom,N
312,Air Sicilia,(Unknown),BM,"","",Italy,Y
313,Air Specialties Corporation,(Unknown),"",AMR,AIR AM,United States,N
314,Air Muskoka,(Unknown),"",AMS,AIR MUSKOKA,Canada,N
315,ATA Airlines,(Unknown),"",AMT,AMTRAN,United States,Y
316,Air Macau,(Unknown),NX,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,(Unknown),"",AMV,"",Egypt,Y
318,Air Midwest,(Unknown),ZV,AMW,AIR MIDWEST,United States,N
319,Air Seychelles,(Unknown),HM,SEY,SEYCHELLES,Seychelles,Y
320,Air Sofia,(Unknown),"",SFB,AIR SOFIA,Bulgaria,N
321,AeroMéxico,(Unknown),AM,AMX,AEROMEXICO,Mexico,Y
322,Air Ambar,(Unknown),"",AMY,AIR AMBAR,Dominican Republic,N
323,Amiya Airline,(Unknown),"",AMZ,AMIYA AIR,Nigeria,N
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
325,Air Navigation And Trading Co. Ltd.,(Unknown),"",ANB,AIR NAV,United Kingdom,N
326,Anglo Cargo,(Unknown),"",ANC,ANGLO,United Kingdom,N
327,Air Nostrum,(Unknown),YW,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,(Unknown),PX,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,(Unknown),G9,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,(Unknown),AC,ACA,AIR CANADA,Canada,Y
331,Airport Bratsk,(Unknown),"",BRP,AEROBRA,Russia,N
332,Air Wings,(Unknown),"",BSB,ARBAS,Moldova,N
333,Air Baltic,(Unknown),BT,BTI,AIRBALTIC,Latvia,Y
334,Alajnihah for Air Transport,(Unknown),"",ANH,ALAJNIHAH,Libya,N
335,Air Atlantic (Nig) Limited,(Unknown),"",ANI,NIGALANTIC,Nigeria,N
336,Air Nippon,(Unknown),EL,ANK,ANK AIR,Japan,Y
337,Antares Airtransport,(Unknown),"",ANM,Maintenance & Service GmbH,ANTARES,N
338,Airnorth,(Unknown),TL,ANO,TOPEND,Australia,Y
339,Aerol,(Unknown),"",ANQ,ANTIOQUIA,Colombia,N
340,Andes Lineas Aereas,(Unknown),"",ANS,AEROANDES,Argentina,N
341,Air North Charter - Canada,(Unknown),4N,ANT,AIR NORTH,Canada,Y
342,Air Nevada,(Unknown),"",ANV,AIR NEVADA,United States,N
343,AOM French Airlines,(Unknown),IW,AOM,French Lines,France,N
344,Aviacion Del Noroeste,(Unknown),"",ANW,S.A. de C.V.,AVINOR,N
345,Air New Zealand,(Unknown),NZ,ANZ,NEW ZEALAND,New Zealand,Y
346,Avia Jaynar,(Unknown),"",SAP,TOBOL,Kazakhstan,N
347,Aero Servicios Empresariales,(Unknown),"",EMS,SERVIEMPRESARIAL,Mexico,N
348,Alcon Servicios Aereos,(Unknown),"",AOA,S.A. de C.V.,ALCON,N
349,AVCOM,(Unknown),J6,AOC,AERO AVCOM,Russia,N
350,Aero Vodochody,(Unknown),"",AOD,AERO CZECH,Czech Republic,N
351,Air One Executive,(Unknown),"",AOE,"",Italy,N
352,Atair Pty Ltd.,(Unknown),"",AOF,ATAIR,South Africa,N
353,Aero VIP,(Unknown),2D,AOG,AVIP,Argentina,N
354,Aeromundo Ejecutivo,(Unknown),"",MUN,AEROMUNDO,Mexico,N
355,Aerolinea Muri,(Unknown),"",MUR,MURI,Mexico,N
356,Astoria,(Unknown),"",AOI,Inc.,ASTORIA,N
357,Aero Rent JSC,(Unknown),"",NRO,AEROMASTER,Russia,N
358,Aeronord-Grup,(Unknown),"",NRP,AERONORD,Moldova,N
359,Aeroatlantico Colombia,(Unknown),"",AOK,"",Colombia,N
360,Angkor Airlines,(Unknown),"",AOL,ANGKOR AIR,Cambodia,N
361,Aero Entreprise,(Unknown),"",AON,AERO ENTERPRISE,France,N
362,As,(Unknown),"",AOO,Opened Joint Stock Company,COMPANY AS,N
363,Aeropiloto,(Unknown),"",AOP,AEROPILOTO,Portugal,N
364,Aeroenlaces Nacionales,(Unknown),"",VIV,AEROENLACES,Mexico,N
365,Aerovis Airlines,(Unknown),"",VIZ,AEROVIZ,Ukraine,N
